code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002547,春兴精工,通信设备,江苏,1384.24,6.55,11.28,876996.88,519937.31,205635.84,143437.63,1.27,0.002,2.41,4.95,20110218,11513.3,0.1,37.55,-22.66,14.28,0.18,141641.0
000070,特发信息,通信设备,深圳,64.22,7.31,7.52,751390.63,562276.13,68718.92,73884.7,0.98,0.049,3.13,3.99,20000511,84200.86,1.12,2.55,-28.06,14.54,2.93,99043.0
300252,金信诺,通信设备,深圳,77.49,3.88,5.78,527863.31,337311.91,61507.8,114242.52,1.98,0.035,4.15,2.63,20110818,65387.16,1.13,-6.42,-59.41,18.33,3.41,28508.0
600898,国美通讯,通信设备,山东,0.0,2.53,2.53,286958.06,183874.31,12761.99,4507.93,0.18,-0.145,0.16,51.81,19960418,-36627.51,-1.45,-49.63,-803.27,5.84,-8.8,22142.0
600105,永鼎股份,通信设备,江苏,81.6,12.38,12.53,547772.38,266646.03,68887.03,54325.61,0.43,0.015,2.18,2.24,19970929,68808.32,0.55,-2.2,-55.58,8.37,2.9,60881.0
002881,美格智能,通信设备,深圳,147.27,0.45,1.81,79466.88,70434.63,6803.22,17149.82,0.95,0.034,2.95,6.83,20170622,16427.25,0.91,53.78,-40.51,18.63,3.33,14205.0
300597,吉大通信,通信设备,吉林,332.32,1.36,2.4,104622.2,93467.71,3721.96,21331.72,0.89,0.012,3.2,5.07,20170123,28294.01,1.18,9.39,3.92,21.08,3.95,37553.0
002161,远 望 谷,通信设备,深圳,26.92,6.94,7.4,210092.55,79697.02,18022.18,42980.87,0.58,0.07,1.97,3.82,20070821,21138.25,0.29,44.95,329.57,33.08,46.89,91527.0
300211,亿通科技,通信设备,江苏,379.61,1.86,3.03,53635.68,34480.8,13180.84,3736.85,0.12,0.004,1.63,3.8,20110505,13089.05,0.43,-36.74,-33.6,22.81,4.85,17471.0
600487,亨通光电,通信设备,江苏,17.32,18.6,19.04,3875070.0,2578670.0,599596.13,319589.38,1.68,0.24,6.77,2.45,20030822,749581.0,3.94,7.45,-5.18,18.57,6.72,186400.0
601869,长飞光纤,通信设备,湖北,27.24,0.76,7.58,1309726.25,749036.63,215849.52,335350.69,4.42,0.33399999999999996,11.11,3.28,20180720,374644.0,4.94,-35.15,-31.89,27.34,15.85,42854.0
002829,星网宇达,通信设备,北京,204.92,0.61,1.61,161560.63,84674.43,23454.06,45191.75,2.81,0.025,5.33,3.89,20161213,32816.51,2.04,-0.32,8.55,49.51,5.1,13420.0
603220,贝通信,通信设备,湖北,500.79,0.84,3.38,278926.09,246751.42,18372.32,74239.45,2.2,0.013999999999999999,4.5,6.4,20181115,39573.56,1.17,0.0,0.0,16.15,2.14,53700.0
603083,剑桥科技,通信设备,上海,0.0,0.66,1.29,271429.0,174940.67,44224.4,58079.75,4.51,-0.033,8.74,3.51,20171110,39155.12,3.04,1.07,89.73,13.86,-0.61,16024.0
600776,东方通信,通信设备,浙江,509.44,9.56,12.56,374461.13,290567.84,19824.3,89667.4,0.71,0.011000000000000001,2.46,9.38,19961126,80943.85,0.64,-5.3,-31.14,14.04,3.0,211774.0
002519,银河电子,通信设备,江苏,36.98,8.32,11.26,356021.94,243183.88,58145.45,187020.84,1.66,0.031,2.15,2.12,20101207,-45321.73,-0.4,-14.28,-12.73,38.26,11.71,47072.0
600745,闻泰科技,通信设备,湖北,125.97,6.37,6.37,2895482.0,1201571.25,57476.46,238160.3,3.74,0.067,5.7,5.95,19960828,56957.18,0.89,184.6,175.07,7.02,0.88,21634.0
600198,大唐电信,通信设备,北京,0.0,8.8,8.82,722619.0,366729.38,53181.83,367929.41,4.17,-0.177,0.05,271.26,19981021,-456218.09,-5.17,-38.52,-1.77,34.77,-44.88,68270.0
