,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
323,*ST龙力,0.2987,0.1712,,0.0541,5.6739999999999995
324,中体产业,0.2986,0.1017,4.7328,0.1899,19.6631
325,四方达,0.2975,0.1031,1.7327,0.46399999999999997,53.9064
326,鄂尔多斯,0.2972,0.1489,4.573,0.2191,25.592
327,蓝焰控股,0.2964,0.0867,1.0363,0.1708,27.028000000000002
328,视觉中国,0.2946,0.0688,0.8682,0.2204,34.0499
329,金科文化,0.2935,0.0623,0.885,0.1317,24.605999999999998
330,迈瑞医疗,0.2934,0.1865,1.0829,0.6256,87.8601
331,海峡环保,0.2931,0.0439,1.1947,0.0906,17.5313
332,深圳机场,0.293,0.0784,1.5468,0.5872,58.8804
333,首开股份,0.293,0.04,2.9226,0.049,7.5284
334,深信服,0.2925,0.1838,1.5635,0.5565,62.4789
335,涪陵榨菜,0.2922,0.1878,0.8453,1.1031,139.8304
336,海翔药业,0.2911,0.1125,1.3082,0.4812,50.1226
337,益生股份,0.2911,0.1856,1.192,0.6076,68.1271
338,日照港,0.2895,0.069,2.0197,0.1648,29.8367
339,新疆火炬,0.289,0.084,1.2214,0.3596,61.5672
340,北陆药业,0.289,0.1364,1.1894,2.1194,282.8211
341,信立泰,0.2882,0.1696,0.9217,1.2971,198.5907
342,柏堡龙,0.2876,0.0997,1.5749,0.4252,45.5025
343,华新水泥,0.2876,0.2382,1.3846,0.5322,77.8145
344,福耀玻璃,0.2872,0.1684,1.4141,0.4061,47.0002
345,恒生电子,0.2872,0.1507,1.3814,0.3344,34.4771
346,桂林旅游,0.28600000000000003,0.0561,2.4769,0.1248,29.6166
347,沃格光电,0.2855,0.1111,1.264,1.1926,126.8341
348,三六零,0.2855,0.1277,1.0683,0.7394,76.4724
349,中山公用,0.2843,0.0335,0.7941,0.1263,16.9715
350,粤泰股份,0.2842,0.0468,3.819,0.0692,8.1147
351,百利科技,0.2834,0.1243,2.2172,0.2109,22.5781
352,兆丰股份,0.2834,0.0702,0.7195,0.4963,53.2964
353,大有能源,0.2828,0.128,3.5908,0.2523,26.369
354,海天精工,0.2825,0.1689,3.5176,0.40399999999999997,45.3143
355,雅戈尔,0.2825,0.036000000000000004,0.7399,0.0576,8.7859
356,黄山旅游,0.2823,0.0973,0.7562,0.9625,112.6857
357,大豪科技,0.282,0.1531,0.818,2.1216,214.9598
358,美好置业,0.2817,0.0307,4.763,0.0464,6.1542
359,艾格拉斯,0.2816,0.0327,0.3487,0.3377,35.3541
360,西藏药业,0.2814,0.1142,1.3262,1.0521,110.6978
361,上海电力,0.2813,0.0644,1.8609,0.0878,16.6174
362,西昌电力,0.2808,0.0875,3.7563,0.155,43.1455
363,海螺水泥,0.2808,0.2411,1.177,1.0884,137.8825
364,金杯汽车,0.2807,0.303,6.1706,0.3544,56.815
365,同和药业,0.2805,0.0932,3.0546,0.5151,52.4446
366,中再资环,0.2795,0.1885,2.7246,0.2725,45.413000000000004
367,中工国际,0.2792,0.1564,2.4042,0.3224,33.576
368,大连港,0.2792,0.0534,2.7649,0.1304,33.0696
369,御银股份,0.27899999999999997,0.0627,,0.648,87.9493
370,亚邦股份,0.2789,0.1215,4.902,0.3521,38.3657
371,地素时尚,0.2783,0.1638,1.0184,1.2159,127.4428
372,百润股份,0.2783,0.1412,2.7674,0.6824,76.2207
373,江中药业,0.27699999999999997,0.1274,1.0341,0.8629,107.1661
374,红宇新材,0.2764,0.046,,0.1657,20.8404
375,天威视讯,0.2763,0.1105,2.1485,0.4184,46.1159
376,兆易创新,0.2759,0.2166,1.5339,0.643,98.7811
377,三超新材,0.2754,0.128,2.4732,0.4229,44.6753
378,ST厦华,0.2752,0.1167,1.643,0.141,14.1036
379,华鲁恒升,0.2745,0.2112,1.305,0.5981,99.0735
380,新华联,0.2744,0.0717,3.0745,0.0881,13.9406
381,广济药业,0.2743,0.1367,1.3346,0.2849,31.7913
382,中原环保,0.2736,0.0309,0.6765,0.0936,15.517999999999999
383,东江环保,0.2733,0.0921,1.8933,0.1775,25.4727
384,张江高科,0.2733,0.016,0.6303,0.0293,6.7459
385,光正集团,0.2732,0.1202,,0.2148,27.5534
386,三美股份,0.2729,0.3444,1.0965,1.1754,120.2799
387,基蛋生物,0.2726,0.1191,0.7465,0.9993,103.9455
388,郴电国际,0.2719,0.0578,6.7359,0.0812,28.671
389,广汇物流,0.2707,0.0428,1.0106,0.0844,14.623
390,朗玛信息,0.2703,0.0719,1.2302,0.3551,52.9302
391,柘中股份,0.27,0.0597,2.5985,0.3104,39.5599
392,高德红外,0.2683,0.066,2.2013,0.2813,30.2933
