code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
300638,广和通,通信设备,深圳,36.4,0.4,1.21,104307.68,96405.13,2062.28,15457.37,1.28,0.317,4.05,11.39,20170413,21453.25,1.77,94.12,476.25,26.27,9.26,12220.0
000801,四川九洲,通信设备,四川,218.05,10.23,10.23,537904.44,477323.06,34559.84,27729.85,0.27,0.006999999999999999,2.36,2.58,19980506,104778.74,1.02,-6.14,70.08,18.92,1.06,54422.0
000687,华讯方舟,通信设备,河北,0.0,7.53,7.66,399509.69,258610.97,23154.21,89808.15,1.17,-0.027000000000000003,1.27,5.6,19970221,-63736.95,-0.83,-16.09,-218.21,13.07,-6.6,62436.0
300098,高新兴,通信设备,广东,27.12,13.2,17.64,888194.81,452873.81,15971.42,259351.8,1.47,0.076,3.25,2.54,20100728,152667.81,0.87,25.94,10.89,32.08,13.26,56209.0
300310,宜通世纪,通信设备,广东,86.4,6.81,8.83,249756.95,189167.61,20892.78,207685.61,2.35,0.02,1.81,3.75,20120425,-139749.45,-1.58,-10.93,-65.95,13.64,2.89,52868.0
000547,航天发展,通信设备,福建,38.31,11.14,16.06,998038.19,562719.63,60885.03,539615.88,3.36,0.064,4.52,2.18,19931130,143510.23,0.89,43.9,41.58,37.85,13.68,97407.0
300101,振芯科技,通信设备,四川,472.37,5.5,5.59,147623.59,101904.43,7454.31,12259.88,0.22,0.006,1.67,6.83,20100806,25619.57,0.46,-1.87,-86.82,37.08,3.33,66506.0
600105,永鼎股份,通信设备,江苏,86.61,12.38,12.53,547772.38,266646.03,68887.03,54325.61,0.43,0.015,2.18,2.38,19970929,68808.32,0.55,-2.2,-55.58,8.37,2.9,60881.0
300252,金信诺,通信设备,深圳,78.69,3.88,5.78,527863.31,337311.91,61507.8,114242.52,1.98,0.035,4.15,2.67,20110818,65387.16,1.13,-6.42,-59.41,18.33,3.41,29694.0
300312,邦讯技术,通信设备,北京,0.0,1.91,3.2,70284.25,52287.09,878.2,33406.01,1.04,-0.049,0.58,12.07,20120508,-49192.93,-1.54,-83.59,-1101.81,19.08,-137.17,34056.0
300308,中际旭创,通信设备,山东,54.56,2.18,5.1,948471.19,553844.94,154046.92,519651.16,10.19,0.22,12.57,3.39,20120410,94994.38,1.86,-37.39,-32.66,28.11,11.36,17498.0
600775,南京熊猫,通信设备,江苏,251.35,6.72,9.14,633429.88,475599.25,86174.13,147069.19,1.61,0.015,3.81,3.89,19961118,83851.65,0.92,4.03,-49.19,13.57,1.25,63000.0
300270,中威电子,通信设备,浙江,32.67,1.51,3.03,146825.81,90740.45,25020.75,50649.94,1.67,0.06,3.47,2.26,20111012,20866.99,0.69,28.64,119.61,50.42,23.34,17053.0
002313,日海智能,通信设备,深圳,210.66,3.11,3.12,686745.13,548139.13,30044.01,105721.51,3.39,0.023,6.53,2.98,20091203,60753.65,1.95,136.45,477.43,15.08,0.51,20000.0
002583,海能达,通信设备,深圳,0.0,10.47,18.37,1442491.38,702720.94,140989.22,276384.75,1.5,-0.054000000000000006,3.25,2.65,20110527,138241.86,0.75,-10.72,3.97,45.97,-9.14,38847.0
000836,富通鑫茂,通信设备,天津,84.19,12.08,12.08,284740.5,145022.8,53713.8,12528.15,0.1,0.013000000000000001,1.11,4.02,19970929,-283.98,0.0,-30.46,-23.94,20.73,4.62,76300.0
300628,亿联网络,通信设备,福建,24.93,0.75,3.0,393043.41,378221.81,10171.55,140558.31,4.69,0.871,12.46,6.97,20170317,190419.67,6.36,29.25,32.92,65.34,48.96,12878.0
002848,高斯贝尔,通信设备,湖南,0.0,0.88,1.67,110866.42,72448.63,15281.74,13402.07,0.8,-0.16699999999999998,3.46,3.48,20170213,24618.35,1.47,-26.44,-12.73,5.25,-22.93,32439.0
300563,神宇股份,通信设备,江苏,45.18,0.32,0.8,61986.19,32475.9,23029.53,15894.55,1.99,0.16,6.21,4.66,20161114,23064.07,2.88,-4.28,-8.54,31.29,15.79,11030.0
