,name,mbrg,nprg,nav,targ,epsg,seg
1380,博士眼镜,20.0996,12.6676,11.9213,12.57,6.1538,11.1503
1381,国泰集团,53.5998,12.6601,101.8614,105.6967,-29.0323,93.5914
1382,中航资本,30.5178,12.6377,47.8907,28.0903,12.9032,19.1117
1383,西部材料,10.331,12.5803,3.5794,8.5085,11.5657,1.3178
1384,远光软件,8.4055,12.5742,11.7933,7.9718,-19.9161,13.1181
1385,江中药业,0.4916,12.5713,11.5964,13.4618,-19.4245,11.5976
1386,西安银行,,12.5706,12.865,4.002,11.3208,12.8727
1387,双汇发展,-3.3301,12.5456,-9.4917,-3.21,13.7728,-11.2399
1388,深振业A,-15.1246,12.5103,11.892999999999999,3.0198,8.5121,11.3132
1389,太钢不锈,7.6063,12.3866,12.7502,-3.5879,7.7682,13.2365
1390,海利得,12.0335,12.3585,2.021,9.709,11.5385,1.8699
1391,雷科防务,29.566,12.3079,8.3388,10.8985,9.0909,8.1257
1392,皖通科技,25.4618,12.282,45.9989,39.4665,16.2643,48.4052
1393,宁波港,20.3306,12.2152,6.3714,18.3527,10.0,5.4393
1394,广州酒家,15.8923,12.1781,16.4133,17.8188,5.8123,14.373
1395,华润双鹤,28.0797,12.1701,0.7649,9.1999,-4.2097,5.138
1396,华能国际,11.414000000000001,12.1513,10.3928,6.535,-36.3636,10.1959
1397,英唐智控,63.7069,12.145,-6.9347,14.7852,0.0,-9.35
1398,天润乳业,17.8866,12.1361,15.5335,26.3934,-42.7083,10.0532
1399,中钨高新,25.0077,12.1333,3.199,3.2871,-24.2023,2.7921
1400,和佳股份,7.5736,12.0957,3.8529,5.5749,8.3333,3.7561
1401,中直股份,8.4445,12.0705,6.6322,6.8163,12.0647,6.9076
1402,联创光电,14.4986,12.0429,9.2327,20.2659,13.3333,9.2742
1403,中文传媒,-13.4779,11.9973,8.8944,15.8436,12.380999999999998,8.9893
1404,好想你,21.5943,11.9394,2.1223,7.4653,19.0476,2.1097
1405,埃斯顿,35.7195,11.9202,5.3506,12.130999999999998,9.0909,5.2757
1406,合力泰,11.8685,11.9081,11.4114,29.1326,13.1579,11.9565
1407,中国核建,13.2825,11.8605,11.4942,21.0948,6.25,8.3186
1408,中远海科,6.8753,11.8284,9.2152,12.4631,9.501,8.4465
1409,透景生命,20.4558,11.7304,14.321,17.9295,-31.9481,14.321
1410,陆家嘴,35.5423,11.689,12.7992,-3.7786,7.0462,12.4015
1411,东港股份,8.1252,11.6235,7.2119,3.3935,10.627,7.3418
1412,博威合金,5.3313,11.6192,5.6611,7.0773,12.2449,5.6611
1413,凯撒文化,5.7946,11.5836,7.2582,5.4232,9.6774,7.2611
1414,烽火电子,0.5801,11.5592,7.2216,4.7678,25.0,7.4261
1415,紫光股份,23.6358,11.4929,5.532,14.0547,-22.7002,5.617000000000001
1416,科华生物,24.8475,11.4697,16.8778,29.0244,-4.5669,8.9978
1417,粤高速A,4.1967,11.2919,6.2638,-1.3763,11.1111,6.2466
1418,合诚股份,83.1897,11.2634,16.6333,82.2142,8.5971,11.3076
1419,上海环境,0.655,11.2101,16.2005,21.3549,14.2121,9.6625
1420,华润三九,20.754,11.1871,10.3096,11.3271,9.7744,10.0544
1421,信维通信,37.0372,11.1477,33.2571,35.3195,10.8799,33.4323
1422,南京医药,13.9393,11.1101,28.9537,22.7916,-2.6217,32.0927
1423,九华旅游,8.7357,11.097000000000001,7.441,9.6212,10.6667,7.441
1424,永创智能,19.9219,11.0687,36.8348,25.2595,12.5,36.9286
1425,江苏阳光,12.5282,11.0495,5.3024,3.2363,12.5369,5.8029
1426,神宇股份,14.1158,11.0153,8.0697,-1.359,10.0,8.0701
1427,福建高速,7.6146,10.9964,4.8842,-1.9068,11.7942,4.6173
1428,渤海轮渡,10.4052,10.9341,7.9863,13.3509,10.1672,6.2669
1429,大东方,-0.1528,10.9265,-4.3056,-10.0823,-13.449000000000002,-3.6113
1430,宏川智慧,9.1975,10.8692,53.1974,53.7813,-11.7647,48.5922
1431,川大智胜,27.4814,10.8498,3.2791,4.9997,20.0,3.0458
1432,水星家纺,10.4388,10.7725,7.454,5.1342,-14.4,7.454
1433,金圆股份,57.1742,10.7696,10.1764,5.3164,-5.2736,8.5897
1434,大参林,19.378,10.7619,10.1343,12.2667,5.5556,10.3654
1435,汇川技术,22.9641,10.7531,14.1354,14.1728,9.2308,15.0354
1436,康恩贝,28.1958,10.7352,-0.8740000000000001,13.7277,7.1429,-1.3787
1437,晨光生物,10.5083,10.7012,7.1596,16.8582,-27.6558,7.3307
1438,中铁工业,12.6673,10.6963,8.5084,7.1160000000000005,6.3492,7.5865
1439,北巴传媒,17.2378,10.6863,-3.3243,27.4583,0.0,-1.5411
1440,龙净环保,15.8962,10.6576,11.4464,29.1958,10.2941,11.5841
1441,宝莱特,14.3242,10.6375,12.2921,14.7372,11.5512,11.1913
1442,中嘉博创,43.8161,10.6318,35.3839,65.2247,8.5691,35.3839
